Country;Birds;Crop;n
USA;Blackbirds;Sunflower;11
USA;Blackbirds;rice;3
Australia;regent parrot ;almond;2
France;Flamingo;rice;2
Sweden;geese, swans and cranes;wheat, barley, oat, potato, beet, rapeseed, legumes;2
USA;American crows;almond;2
USA;Blackbirds;Rice;2
Algeria;Sparrow;date palm;1
Argentina;Eared doves ;Sunflower;1
Argentina;monk parakeet;corn, sunflower;1
Argentina;sheldgeese, Ashy-headed Goose, Upland goose;wheat;1
Australia;Australian Raven, Common Starling, Sulphur-crested Cockatoo and Silvereye.;Grape;1
Australia;Cockatoo;apple and pear;1
Australia;common crane;maize, peanuts;1
Australia;Common Myna, Silvereye, Noisy Friarbird;Grape;1
Australia;Starlings, noisy friarbirds, silvereyes, with red wattlebirds, yellow-faced honeyeaters, noisy miners, pied currawongs and crimson rosellas;Grape;1
Bangladesh;Munia;Millet;1
Benin;weavers;rice;1
Brazil;;onion and carrot;1
Brazil;Blue-black Grassquit, Picazuro Pigeon, White-eyed Parakeet, Ruddy Ground Dove;corn and sorghum;1
Brazil;White-eyed Parakeet;maize;1
Canada;Blackbirds;Corn;1
Canada;geese;hay;1
Canada;Starlings;Grape;1
Chad;quelea;rice;1
China;Black-necked Crane, Ruddy Shelduck, Bar-headed goose, Eurasin Wigeon, Eurasian Teal, Mallard, Gray Crane, Garganey, Great Egret, Greylag Goose; maize, napa cabbage, potato, pea shoots, buckwheat, spinach, oilseed rape;1
China;spot-billed ducks (Anas zonorhyncha) and mallards (Anas platyrhynchos);rice;1
Denmark;Geese and swan;sugar beets;1
Dominican Republic;Woodpecker;cacao;1
Egypt;house sparrow;wheat, cowpea, melon;1
France;carrion crows;Sunflower;1
France;carrion crows and rooks;maize, sunflower, soy, pea, and wheat;1
France;jackdaws;maize, cereals;1
France;wood pigeon ;Soybean;1
France;wood pigeons;Sunflower;1
Germany;Canada geese;oilseed rape;1
Germany;Feral pigeon;maize;1
Germany;White-fronted and Bean geese;Wheat and barley;1
Greece;Corvid, starling;nut, cotton, olive, fruit, cereal;1
India;common myna, red-vented bulbul (Pycnonotus cafer), and egrets;brinjal;1
India;Crane;rice;1
India;Crows;Groundnut;1
India;house crow;beans;1
India;House Crow, Rose-ringed Parakeet;Maize;1
India;Indian peafow;Paddy;1
India;Munia;pearl millet;1
India;mynah;Grape;1
India;mynah, house sparrow, weaver, crow;wheat;1
India;rose-ringed parakeet;Guava;1
India;Rose-ringed Parakeet;Guava;1
India;Spotted dove, Feral pigeon;soybean;1
Ireland;Crow;wheat;1
Israel;chukar;sugar beets;1
Israel;Feral pigeon, house sparrow;Vegetable sprouts;1
Israel;partridges;Sprouts;1
Israel;rose-ringed parakeet;Sunflower;1
Italy;corvids;Maize;1
Japan;Sparrow;Rice;1
Japan;spot-billed ducks (Anas zonorhyncha) and mallards (Anas platyrhynchos);cabbage;1
Kenya;Weavers, African Mourning Doves;sorghum;1
Mexico;Blackbirds, cowbirds;Rice;1
Myanmar;Purple swamphen, Lesser whistling duck, Spotted dove,  Eurasian tree sparrow, Scaly-breasted munia,  Baya weaver;rice;1
New Zealand;greenfinches, house sparrows;raddish, canola;1
New Zealand;house sparrows and greenfinches;wheat,barley and peas;1
New Zealand;mallard;barley ;1
New Zealand;Sparrow;Wheat and barley;1
Norway;Arctic-breeding pink-footed and barnacle geese.;Grass;1
Pakistan;common myna, house crow;watermelon;1
Pakistan;house crow;maize;1
Poland;Rook, Jackdaw;oats, barley, wheat, maize, peas and  wheat ;1
Portugal;Glossy ibis and White stork;rice;1
Portugal;woodpigeon, common pigeon, house sparrow, blackbird;Grape;1
Romania;Feral pigeon, rook;Sunflower;1
Senegal;Quelea;rice;1
Senegal;Red-billed Quelea;rice;1
Senegal;weavers, Sparrow, Quelea;Sorghum, millet;1
South Africa;Crane;sweet lupin, canola, wheat, and medics;1
Spain;Blackbirds;Blueberries;1
Spain;Great bustard;Cereal, lucerne and vetch;1
Spain;monk parakeet;Tomato, corn, red plum, round plum, pear, persimoon, quinces;1
Spain;purple swamphen;rice;1
Spain;Spotless starling;Grape;1
Spain;The house sparrow was by far the more abundant species in greenhouses, followed by the common chiffchaff (Phylloscopus collybita) and other minority species, such as blackbird (Turdus merula) and Sardinian warbler (Curruca melanocephala), respectively.;pepper, green beans, tomato, sqash, watermelon.  the pepper being the crop perceived as the most damaged by birds ;1
Sweden;common crane;Barley, beans, carrots, colza, corn, oat, peas, potatoes, protein mix, rape seed, rye, triticale, wheat, ;1
Sweden;common crane;Grass;1
Sweden;Geese;cereals, ley, rapeseed, potatoes, and carrots;1
Sweden;greylag geese (Anser anser);;1
Switzerland;Carrion crows (Corvus corone) and rooks (Corvus frugilegus),;;1
The Netherlands;Barnacle geese;Grass;1
The Netherlands;geese;Grass;1
USA;;Corn;1
USA;American crows, wild turkey, ring-billed gulls, blackbirds;corn;1
USA;Blackbirds;cherry and grape;1
USA;Blackbirds;Corn;1
USA;Blackbirds;corn, sunflower;1
USA;Blackbirds;rice and sunflower;1
USA;Blackbirds;sweet corn;1
USA;Blackbirds;Sweet corn, sunflowers, and cherries;1
USA;Blackbirds, Common rackles;Sunflower;1
USA;Blackbirds, cowbirds;Rice;1
USA;Blackbirds, House Sparrow, Doves, Goldfinches;;1
USA;Blackbirds, starlings;corn;1
USA;Canada geese;soybean;1
USA;European starlings ;Sweet corn;1
USA;geese;wheat;1
USA;Greater Sandhill Crane;;1
USA;horned larks;canola;1
USA;horned larks;Lettuce;1
USA;mourning doves, house finches, American goldfinches;Industrial hemp;1
USA;Quelea;sorghum;1
USA;Ring-necked pheasants;Sunflower;1
USA;Sandhill cranes;Corn;1
USA;Starlings, Robins and Finches;wine grapes, blueberries ;1
USA;wood pigeon ;oilseed rape;1
USA, Bangladesh, India, Philippines;parakeets, Sparrow, Blackbirds;Sunflower, sorghum, corn;1
United Kingdom;Feral pigeon;;1
United Kingdom;Feral pigeon;beans;1
United Kingdom;geese;wheat;1
United Kingdom;greylag geese (Anser anser);Grass;1
United Kingdom;Mute swan;oilseed rape;1
United Kingdom;skylark;sugar beets;1
United Kingdom;wood pigeon ;brussel-sprout;1
Venezuela;Dickcissel;Rice and sorghum;1
Zambia;Black-cheeked Lovebird ;Millet and sorghum;1
